Timestamp (ISO),timestamp,voltage (V),current (mA),power (mW), brand, rated_voltage,ers
2025-08-10T20:21:43.977390,1754871704, 12.04, 655.70, 7908.00, KONPWAY, 12.00,100
2025-08-10T20:21:53.974961,1754871714, 12.04, 655.30, 7900.00, KONPWAY, 12.00,100
2025-08-10T20:22:03.964771,1754871724, 12.04, 656.00, 7898.00, KONPWAY, 12.00,100
2025-08-10T20:22:13.975760,1754871734, 12.04, 655.80, 7898.00, KONPWAY, 12.00,100
2025-08-10T20:22:23.964076,1754871744, 12.05, 656.20, 7916.00, KONPWAY, 12.00,100
2025-08-10T20:22:33.972539,1754871754, 12.04, 656.60, 7900.00, KONPWAY, 12.00,100
2025-08-10T20:22:43.968527,1754871764, 12.02, 658.10, 7908.00, KONPWAY, 12.00,100
2025-08-10T20:22:53.970905,1754871774, 12.02, 658.50, 7910.00, KONPWAY, 12.00,100
2025-08-10T20:23:03.964717,1754871784, 12.02, 656.90, 7898.00, KONPWAY, 12.00,100
2025-08-10T20:23:13.971140,1754871794, 12.02, 656.60, 7894.00, KONPWAY, 12.00,100
2025-08-10T20:23:23.974002,1754871804, 12.02, 655.70, 7884.00, KONPWAY, 12.00,100
2025-08-10T20:23:33.977130,1754871814, 12.01, 656.00, 7874.00, KONPWAY, 12.00,100
2025-08-10T20:23:43.967509,1754871824, 12.02, 655.90, 7884.00, KONPWAY, 12.00,100
2025-08-10T20:23:53.971061,1754871834, 12.02, 655.60, 7880.00, KONPWAY, 12.00,100
2025-08-10T20:24:03.975623,1754871844, 12.02, 655.30, 7874.00, KONPWAY, 12.00,100
2025-08-10T20:24:13.967980,1754871854, 12.02, 655.10, 7874.00, KONPWAY, 12.00,100
2025-08-10T20:24:23.975223,1754871864, 12.02, 655.10, 7880.00, KONPWAY, 12.00,100
2025-08-10T20:24:33.961853,1754871874, 12.02, 654.60, 7868.00, KONPWAY, 12.00,100
2025-08-10T20:24:43.973224,1754871884, 12.02, 655.30, 7868.00, KONPWAY, 12.00,100
2025-08-10T20:24:53.967193,1754871894, 12.02, 655.40, 7884.00, KONPWAY, 12.00,100
2025-08-10T20:25:03.976311,1754871904, 12.02, 655.00, 7878.00, KONPWAY, 12.00,100
2025-08-10T20:25:13.976385,1754871914, 12.02, 654.20, 7868.00, KONPWAY, 12.00,100
2025-08-10T20:25:23.964721,1754871924, 12.02, 654.30, 7858.00, KONPWAY, 12.00,100
